City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,uturoa,-16.7333,-151.4333,25.9,79,30,9.29,PF,1699496322
83,punta arenas,-53.15,-70.9167,4.06,70,20,3.09,CL,1699496322
84,porkhov,57.765,29.5561,6.18,93,100,2.03,RU,1699496324
85,cadillac,44.2519,-85.4012,1.95,93,100,3.09,US,1699496146
86,biloela,-24.4167,150.5,29.65,30,0,1.74,AU,1699496325
87,patos,-7.0244,-37.28,25.65,61,6,8.98,BR,1699496325
88,cole harbour,44.6724,-63.4751,1.65,72,77,8.05,CA,1699496326
89,mount gambier,-37.8333,140.7667,20.92,47,12,3.3,AU,1699496326
90,olinda,-8.0089,-34.8553,26.85,74,75,5.66,BR,1699496154
91,as sulayyil,20.4607,45.5779,19.14,34,0,3.28,SA,1699496328
92,enewetak,11.3474,162.3373,28.49,74,83,9.44,MH,1699496329
93,ashchysay,43.5542,68.8889,4.01,95,80,5.78,KZ,1699496329
94,tura,25.5198,90.2201,21.43,70,2,0.6,IN,1699496332
95,nemuro,43.3236,145.575,10.2,70,100,7.86,JP,1699496333
96,puerto ayora,-0.7393,-90.3518,24.75,93,94,3.58,EC,1699496333
97,gazojak,41.1875,61.4036,9.32,57,5,3.39,TM,1699496333
98,motilla del palancar,39.5709,-1.9068,7.0,79,100,6.25,ES,1699496334
99,lugovoye,42.9094,72.7178,8.68,85,100,4.17,KZ,1699496334
100,glasgow,55.8652,-4.2576,6.13,90,75,4.63,GB,1699496167
101,lihue,21.9789,-159.3672,27.58,73,40,5.14,US,1699496335
102,ust-nera,64.5667,143.2,-26.0,97,68,1.86,RU,1699496335
103,georgetown,5.4112,100.3354,29.41,79,20,1.54,MY,1699496239
104,badger,64.8,-147.5333,-0.86,69,75,3.6,US,1699496336
105,sandnessjoen,66.0217,12.6316,-4.71,78,92,6.64,NO,1699496337
106,andergrove,-21.0833,149.1833,28.69,61,11,5.11,AU,1699496338
107,malvan,16.0667,73.4667,25.29,74,96,2.24,IN,1699496339
108,fort saskatchewan,53.7168,-113.2187,2.25,59,0,3.6,CA,1699496320
109,yelizovo,53.1873,158.3805,1.08,40,40,5.0,RU,1699496340
110,keflavik,64.0049,-22.5624,4.37,75,0,6.17,IS,1699496340
111,wailua homesteads,22.0669,-159.378,27.24,79,40,5.14,US,1699496342
112,malango,-2.9627,119.9001,28.61,53,87,1.74,ID,1699496342
113,willmar,45.1219,-95.0433,4.01,93,0,4.63,US,1699496344
114,pasuquin,18.3328,120.6177,30.97,70,40,2.57,PH,1699496345
115,st. john's,47.5649,-52.7093,7.31,99,100,2.06,CA,1699496345
116,laihia,62.9761,22.0114,1.68,100,100,1.03,FI,1699496346
117,college,64.8569,-147.8028,-0.82,69,75,3.6,US,1699496347
118,rio rancho,35.2334,-106.6645,14.88,26,0,3.09,US,1699496300
119,san patricio,28.017,-97.5169,25.47,81,26,5.22,US,1699496348
120,beloyarskiy,63.7119,66.6722,-1.67,88,100,2.68,RU,1699496349
121,iqaluit,63.7506,-68.5145,-7.15,73,75,7.2,CA,1699496349
122,shiyan,32.6475,110.7781,20.23,71,98,0.64,CN,1699496349
123,berezovyy,51.6667,135.7,-4.6,72,100,0.38,RU,1699496350
124,primorsk,46.7348,36.3443,12.46,90,100,6.39,UA,1699496351
125,afaahiti,-17.75,-149.2833,26.93,85,99,9.75,PF,1699496351
126,dolinsk,47.35,142.8,4.84,90,100,3.11,RU,1699496352
127,huarmey,-10.0681,-78.1522,19.1,84,16,3.8,PE,1699496255
128,lodwar,3.1191,35.5973,25.9,63,27,2.32,KE,1699496356
129,puro,12.4841,123.3827,29.24,74,61,4.82,PH,1699496356
130,kuta,-8.7233,115.1723,30.0,74,20,4.12,ID,1699496357
131,bredasdorp,-34.5322,20.0403,11.63,80,0,0.81,ZA,1699496110
132,kingston,17.997,-76.7936,28.53,79,20,1.54,JM,1699495809
133,ban dung,17.699,103.2596,27.7,69,49,1.39,TH,1699496359
134,la villa del rosario,10.3258,-72.3134,25.97,91,100,2.32,VE,1699496360
135,agapovka,53.2973,59.1348,4.96,76,64,6.36,RU,1699496360
136,avarua,-21.2078,-159.775,25.03,69,20,7.2,CK,1699496127
137,rio grande,-32.035,-52.0986,18.3,94,87,3.32,BR,1699496362
138,sinabang,2.4803,96.3801,26.55,80,100,1.0,ID,1699496286
